GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Server,com.RouteBus.server.controller,UserRestController,0,113,0,12,0,24,0,17,0,10
Server,com.RouteBus.server.controller,BusServiceRestController,677,10,36,0,103,4,45,2,27,2
Server,com.RouteBus.server.controller,NationalityRestController,0,13,0,0,0,5,0,2,0,2
Server,com.RouteBus.server.model,Ticket,0,63,0,0,0,27,0,14,0,14
Server,com.RouteBus.server.model,Route,10,67,0,0,2,29,2,16,2,16
Server,com.RouteBus.server.model,User,0,149,0,10,0,44,0,28,0,23
Server,com.RouteBus.server.model,Schedule,0,60,0,0,0,26,0,14,0,14
Server,com.RouteBus.server.model,Station,5,40,0,0,1,18,1,10,1,10
Server,com.RouteBus.server.model,TicketStatus,0,21,0,0,0,4,0,1,0,1
Server,com.RouteBus.server.model,Bus,5,60,0,0,1,26,1,14,1,14
Server,com.RouteBus.server.model,UserRole,0,15,0,0,0,3,0,1,0,1
Server,com.RouteBus.server.model,Nationality,0,33,0,0,0,14,0,8,0,8
Server,com.RouteBus.server.service,UserService.UserServiceResult,0,27,0,0,0,5,0,1,0,1
Server,com.RouteBus.server.service,BusService.BusServiceResult,15,0,0,0,3,0,1,0,1,0
Server,com.RouteBus.server.service,BusService,558,15,80,0,132,6,67,1,27,1
Server,com.RouteBus.server.service,NationalityService,0,10,0,0,0,4,0,2,0,2
Server,com.RouteBus.server.service,UserService,0,138,0,4,0,35,0,15,0,13
Server,com.RouteBus.server,App,0,290,0,6,0,15,0,9,0,6
